EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
20208,751.1270179,852.301,2110.436279,1218.189697,1211.787231,1314.612305,1206.572266,1048.967163,882.2023926,976.3944702,604.8994141,491.6639404,894.5151978,596.9594727
19958,742.1959819,852.302,7090.606445,4565.802734,11029.68066,3728.762695,4593.624023,4473.638184,5042.46875,5350.408691,4549.42627,3964.925049,11316.62598,3388.617188
21577,807.121944,852.307,2644.881104,1253.920654,1250.101074,1164.84314,1507.054199,1215.027832,1284.01123,1197.909668,801.0059814,796.9160156,1115.312622,575.9891357
20187,750.2125915,852.314,401.6888123,261.4353638,309.805481,364.8265686,315.9605408,281.7337952,431.1112366,273.0862732,430.5316772,176.5,423.4518433,340.9247437
21516,804.5742644,852.332,4058.161621,5447.02002,6940.847656,7764.111328,8711.902344,10411.90137,2182.978516,2874.450928,2951.785156,2183.60791,9693.550781,2811.425537
21527,805.1253166,852.342,9096.782227,4615.805664,3340.500732,3825.864014,3990.092041,3232.631348,3698.251709,2391.768555,2627.106689,2190.806396,3071.659912,2083.644287
21901,817.5776727,852.365,11281.39746,15865.04688,16585.88086,23266.14063,19478.51758,34695.52344,4394.794434,9352.970703,5010.033203,5691.316406,29165.24414,6906.71582
4710,298.2818187,852.39,598.6986084,643.0895386,890.2594604,790.8187256,746.809021,1238.973755,742.8480835,1007.260803,587.3552856,951.5383911,1573.977905,883.6951294
20233,752.1264906,852.5125,3094.302979,1415.870361,1225.404541,1668.555786,1394.112671,1034.437866,1145.22229,1280.66687,1239.144043,1078.376831,1528.188721,1080.001465
8004,397.2037977,852.516,1257.666748,1378.106689,1219.87854,1127.780029,1585.064575,1712.424683,1173.67041,1614.126587,1157.008301,1171.66394,1634.077515,819.6942139
